Afghanistan,18377
Albania,284
Algeria,2751
Andorra,50
Angola,50
Antigua and Barbuda,3
Argentina,15622
Armenia,9015
Australia,445
Austria,457
Azerbaijan,3406
Bahamas,28
Bahrain,5064
Bangladesh,53014
Barbados,4
Belarus,25297
Belgium,33427
Belize,1
Benin,98
Bhutan,45
Bolivia,11315
Bosnia and Herzegovina,521
Botswana,17
Brazil,292021
Brunei,1
Bulgaria,1059
Burkina Faso,72
Burma,79
Burundi,37
Cabo Verde,296
Cambodia,3
Cameroon,8060
Canada,89918
Central African Republic,1807
Chad,84
Chile,24334
China,3192
Colombia,23015
Comoros,72
Congo (Brazzaville),451
Congo (Kinshasa),3481
Costa Rica,619
Cote d'Ivoire,1974
Croatia,15
Cuba,249
Cyprus,145
Czechia,9697
Denmark,577
Djibouti,2234
Dominica,2
Dominican Republic,7429
Ecuador,18716
Egypt,24798
El Salvador,1669
Equatorial Guinea,1094
Eritrea,0
Estonia,188
Eswatini,108
Ethiopia,1768
Fiji,0
Finland,878
France,90919
Gabon,2247
Gambia,6
Georgia,116
Germany,7858
Ghana,6217
Greece,1493
Greenland,0
Grenada,23
Guatemala,5912
Guinea,1275
Guinea-Bissau,1224
Guyana,58
Haiti,3460
Holy See,0
Honduras,5448
Hungary,1182
Iceland,3
India,129360
Indonesia,19246
Iran,29121
Iraq,7539
Ireland,826
Israel,2632
Italy,34730
Jamaica,184
Japan,1097
Jordan,195
Kazakhstan,5427
Kenya,1938
Kosovo,320
Kuwait,10999
Kyrgyzstan,564
Laos,19
Latvia,281
Lebanon,541
Lesotho,2
Liberia,145
Libya,270
Liechtenstein,26
Lithuania,318
Luxembourg,29
Madagascar,831
Malawi,384
Malaysia,1518
Maldives,983
Mali,539
Malta,25
Mauritania,926
Mauritius,3
Mexico,18416
Moldova,3716
Monaco,2
Mongolia,119
Montenegro,0
Morocco,686
Mozambique,431
Namibia,15
Nepal,3260
Netherlands,41729
New Zealand,0
Nicaragua,702
Niger,39
Nigeria,8400
North Macedonia,1343
Norway,184
Oman,13612
Pakistan,71127
Panama,6055
Papua New Guinea,0
Paraguay,531
Peru,104569
Philippines,16826
Poland,12996
Portugal,12244
Qatar,24166
Romania,4439
Russia,239854
Rwanda,152
Saint Kitts and Nevis,0
Saint Lucia,1
Saint Vincent and the Grenadines,11
San Marino,167
Sao Tome and Principe,433
Saudi Arabia,30013
Senegal,1679
Serbia,457
Seychelles,0
Sierra Leone,341
Singapore,12903
Slovakia,106
Slovenia,17
Somalia,1814
South Africa,23700
South Korea,989
South Sudan,1604
Spain,64205
Sri Lanka,856
Sudan,3811
Suriname,117
Sweden,40439
Switzerland,349
Syria,138
Taiwan*,6
Tajikistan,4609
Tanzania,305
Thailand,88
Timor-Leste,24
Togo,233
Trinidad and Tobago,0
Tunisia,56
Turkey,25030
US,1331385
Uganda,543
Ukraine,14615
United Arab Emirates,16820
United Kingdom,246900
Uruguay,84
Uzbekistan,1065
Venezuela,1964
Vietnam,16
West Bank and Gaza,66
Western Sahara,2
Yemen,496
Zambia,278
Zimbabwe,237
